Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BEAR RIVER HIGH SCHOOL51092,BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,App,8,7,
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,App,56,31,25
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Adm,11,7,4
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Enr,6,4,
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,App,108,77,31
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Adm,11,7,4
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Enr,8,4,4
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,App,118,67,50
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Adm,25,13,12
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Enr,10,7,3
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,App,48,32,16
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Adm,12,8,4
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Enr,3,,
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,App,42,25,17
BENJAMIN FRANKLIN HIGH SCHOOL51550,BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,Adm,11,6,5
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,App,159,91,68
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Adm,28,21,7
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Enr,4,,
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,App,86,43,43
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Adm,24,10,14
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Enr,8,5,3
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,App,119,74,45
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Adm,13,9,4
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Enr,3,,
BISHOP UNION HIGH SCHOOL50345,BISHOP UNION HIGH SCHOOL,Bishop,Inyo,App,6,,
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,App,84,57,27
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Adm,4,3,
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,App,130,73,57
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Adm,43,25,18
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Enr,26,14,12
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,App,92,50,42
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,Adm,31,16,15
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,Enr,6,3,3
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,App,65,38,27
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Adm,17,12,5
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Enr,3,,
BONSALL HIGH SCHOOL54793,BONSALL HIGH SCHOOL,Bonsall,San Diego,App,9,,5
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,App,90,46,44
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Adm,28,19,9
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Enr,10,5,5
